"","flgs","flgs_number","proto","proto_number","sport","dport","pkts","bytes","state","state_number","dur","mean","stddev","sum","min","max","spkts","dpkts","sbytes","dbytes","rate","srate","drate","TnBPSrcIP","TnBPDstIP","TnP_PSrcIP","TnP_PDstIP","TnP_PerProto","TnP_Per_Dport","AR_P_Proto_P_SrcIP","AR_P_Proto_P_DstIP","N_IN_Conn_P_DstIP","N_IN_Conn_P_SrcIP","AR_P_Proto_P_Sport","AR_P_Proto_P_Dport","Pkts_P_State_P_Protocol_P_DestIP","Pkts_P_State_P_Protocol_P_SrcIP","attack","category","subcategory"
"3640770","e",1,"udp",3,43776,22055,1,60,"INT",4,0,0,0,0,0,0,1,0,60,0,0,0,0,840,3420,14,57,57,2,7085.02,7757.21,57,14,7326.01,18181.8,57,14,1,"Reconnaissance","Service_Scan"
"3651540","e",1,"tcp",1,36917,5080,2,120,"RST",1,0.003833,0.003833,0,0.003833,0.003833,0.003833,1,1,60,60,260.892242,0,0,11880,11880,198,198,198,2,689.079,689.079,100,100,689.079,521.784,196,196,1,"Reconnaissance","Service_Scan"
"3661276","eU",6,"udp",3,41433,903,1,60,"INT",4,0.000215,0.000215,0,0.000215,0.000215,0.000215,1,0,60,0,0,0,0,840,3480,14,58,58,1,6756.76,6967.8,58,14,8012.82,4651.16,58,14,1,"Reconnaissance","Service_Scan"
"3623704","e",1,"tcp",1,3036,1,2,120,"RST",1,2e-05,2e-05,0,2e-05,2e-05,2e-05,1,1,60,60,50000,0,0,4080,12000,68,200,200,200,28006.6,31675.6,100,34,1e+05,31675.6,200,68,1,"Reconnaissance","Service_Scan"
"3582881","e",1,"tcp",1,59626,16012,2,120,"RST",1,0.004347,0.004347,0,0.004347,0.004347,0.004347,1,1,60,60,230.043716,0,0,11820,11820,197,197,197,2,554.991,554.991,100,100,554.991,460.087,194,194,1,"Reconnaissance","OS_Fingerprint"
"3590051","e",1,"tcp",1,33844,2809,2,120,"RST",1,5.8e-05,5.8e-05,0,5.8e-05,5.8e-05,5.8e-05,1,1,60,60,17241.378906,0,0,7800,12000,130,200,200,2,27999.1,31862.4,100,65,27999.1,34482.8,200,130,1,"Reconnaissance","OS_Fingerprint"
"3641265","eU",6,"udp",3,55094,32815,1,60,"INT",4,0.000143,0.000143,0,0.000143,0.000143,0.000143,1,0,60,0,0,0,0,840,3382,14,56,56,2,7183.17,6894.85,56,14,6600.66,13986,56,14,1,"Reconnaissance","Service_Scan"
"3596531","e",1,"tcp",1,62169,4444,2,120,"RST",1,1.3e-05,1.3e-05,0,1.3e-05,1.3e-05,1.3e-05,1,1,60,60,76923.078125,0,0,12000,12000,200,200,200,2,63391.4,63391.4,100,100,63391.4,153846,200,200,1,"Reconnaissance","Service_Scan"
"3587914","e",1,"tcp",1,44670,1434,2,120,"RST",1,3e-05,3e-05,0,3e-05,3e-05,3e-05,1,1,60,60,33333.335938,0,0,3960,12000,66,200,200,2,46218.5,42535.1,100,33,46218.5,66666.7,200,66,1,"Reconnaissance","OS_Fingerprint"
"3652018","e",1,"tcp",1,40209,2144,2,120,"RST",1,0.004263,0.004263,0,0.004263,0.004263,0.004263,1,1,60,60,234.576584,0,0,11880,11880,198,198,198,2,601.694,601.694,100,100,601.694,469.153,196,196,1,"Reconnaissance","Service_Scan"
"3638920","eU",6,"udp",3,55093,21702,1,60,"INT",4,0.000191,0.000191,0,0.000191,0.000191,0.000191,1,0,60,0,0,0,0,900,3480,15,58,58,1,7451.56,7536.38,58,15,8029.2,5235.6,58,15,1,"Reconnaissance","Service_Scan"
"3662098","eU",6,"udp",3,35226,30365,1,60,"INT",4,0.000121,0.000121,0,0.000121,0.000121,0.000121,1,0,60,0,0,0,0,840,3480,14,58,58,1,10035.8,8496.92,58,14,12285,8264.46,58,14,1,"Reconnaissance","Service_Scan"
"3593700","e",1,"tcp",1,55499,57797,2,120,"RST",1,0.001203,0.001203,0,0.001203,0.001203,0.001203,1,1,60,60,831.255249,0,0,12660,12660,211,211,211,2,2505.85,2505.85,100,100,2505.85,1662.51,211,211,1,"Reconnaissance","OS_Fingerprint"
"3625012","e",1,"tcp",1,2290,123,2,120,"RST",1,0.001131,0.001131,0,0.001131,0.001131,0.001131,1,1,60,60,884.173279,0,0,12480,12480,208,208,208,2,1651.71,1651.71,100,100,1651.71,1768.35,208,208,1,"Reconnaissance","Service_Scan"
"3618243","e",1,"tcp",1,53292,3306,13,1113,"FIN",6,0.198048,0.198048,0,0.198048,0.198048,0.198048,7,6,532,581,60.591373,30.295687,25.246405,27825,111514,325,1303,1303,1303,65.5052,62.5054,100,25,65.6407,62.5054,1303,325,1,"Reconnaissance","Service_Scan"
"3621428","e",1,"tcp",1,2953,1,2,120,"RST",1,8.2e-05,8.2e-05,0,8.2e-05,8.2e-05,8.2e-05,1,1,60,60,12195.12207,0,0,4080,12000,68,200,200,200,29668.4,33624.7,100,34,24390.2,33624.7,200,68,1,"Reconnaissance","Service_Scan"
"3637407","e",1,"udp",3,49314,57843,1,60,"INT",4,0,0,0,0,0,0,1,0,60,0,0,0,0,1560,6780,26,113,63,2,24029.6,19378.7,88,26,0,10256.4,63,26,1,"Reconnaissance","Service_Scan"
"3596375","e",1,"tcp",1,62169,524,2,120,"RST",1,1.5e-05,1.5e-05,0,1.5e-05,1.5e-05,1.5e-05,1,1,60,60,66666.671875,0,0,12180,12180,203,203,203,2,121630,121630,100,100,121630,133333,203,203,1,"Reconnaissance","Service_Scan"
"3598520","e",1,"tcp",1,51614,1091,2,120,"RST",1,0.002488,0.002488,0,0.002488,0.002488,0.002488,1,1,60,60,401.92926,0,0,12000,12000,200,200,200,2,4486.12,4486.12,100,100,4486.12,803.859,200,200,1,"Reconnaissance","Service_Scan"
"3646224","e",1,"tcp",1,60541,6881,2,120,"RST",1,8.6e-05,8.6e-05,0,8.6e-05,8.6e-05,8.6e-05,1,1,60,60,11627.907227,0,0,12000,12000,200,200,200,2,7040.52,7040.52,100,100,7040.52,23255.8,200,200,1,"Reconnaissance","Service_Scan"
"3621689","e",1,"tcp",1,3040,1,2,120,"RST",1,5.2e-05,5.2e-05,0,5.2e-05,5.2e-05,5.2e-05,1,1,60,60,19230.769531,0,0,3960,11880,66,198,200,198,26128.3,31523.6,99,33,38461.5,31523.6,198,66,1,"Reconnaissance","Service_Scan"
"3631326","e",1,"tcp",1,2456,81,2,120,"RST",1,0.000619,0.000619,0,0.000619,0.000619,0.000619,1,1,60,60,1615.508911,0,0,16380,16380,273,273,273,2,807.872,807.872,100,100,807.872,3231.02,273,273,1,"Reconnaissance","Service_Scan"
"3661585","eU",6,"udp",3,43758,22692,1,60,"INT",4,0.000187,0.000187,0,0.000187,0.000187,0.000187,1,0,60,0,0,0,0,840,3480,14,58,58,1,9708.74,8983.89,58,14,9328.36,5347.59,58,14,1,"Reconnaissance","Service_Scan"
"3616726","e d",3,"tcp",1,35490,3306,13,1113,"FIN",6,0.197787,0.197787,0,0.197787,0.197787,0.197787,7,6,532,581,60.671329,30.335665,25.27972,27825,111300,325,1300,1300,1300,65.6054,65.5347,100,25,65.7273,65.5347,1300,325,1,"Reconnaissance","Service_Scan"
"3643602","e",1,"tcp",1,55204,3827,2,134,"RST",1,4e-06,4e-06,0,4e-06,4e-06,4e-06,1,1,74,60,250000,0,0,13400,13400,200,200,200,2,96899.2,96899.2,100,100,5e+05,5e+05,200,200,1,"Reconnaissance","Service_Scan"
"3640988","eU",6,"udp",3,63101,18113,1,60,"INT",4,0.000176,0.000176,0,0.000176,0.000176,0.000176,1,0,60,0,0,0,0,900,3462,15,57,57,1,7006.07,7443.2,57,15,5681.82,5681.82,57,15,1,"Reconnaissance","Service_Scan"
"3646494","e",1,"tcp",1,60541,52869,2,120,"RST",1,9.1e-05,9.1e-05,0,9.1e-05,9.1e-05,9.1e-05,1,1,60,60,10989.010742,0,0,12000,12000,200,200,200,2,16323.9,16323.9,100,100,16323.9,21978,200,200,1,"Reconnaissance","Service_Scan"
"3583988","e",1,"tcp",1,41707,5901,2,120,"RST",1,0.011476,0.011476,0,0.011476,0.011476,0.011476,1,1,60,60,87.138374,0,0,12000,12000,200,200,200,2,514.816,514.816,100,100,514.816,174.277,200,200,1,"Reconnaissance","OS_Fingerprint"
"3600287","eU",6,"udp",3,36529,1434,1,60,"INT",4,0.000103,0.000103,0,0.000103,0.000103,0.000103,1,0,60,0,0,0,0,900,3480,15,58,58,1,21582.7,19129.3,58,15,22869,9708.74,58,15,1,"Reconnaissance","Service_Scan"
"3595367","e",1,"tcp",1,36663,5862,2,120,"RST",1,9.4e-05,9.4e-05,0,9.4e-05,9.4e-05,9.4e-05,1,1,60,60,10638.297852,0,0,12120,12120,202,202,202,2,41555.2,41555.2,100,100,41555.2,21276.6,202,202,1,"Reconnaissance","Service_Scan"
"3596391","e",1,"tcp",1,62169,8300,2,120,"RST",1,1.7e-05,1.7e-05,0,1.7e-05,1.7e-05,1.7e-05,1,1,60,60,58823.527344,0,0,12180,12180,203,203,203,2,121630,121630,100,100,121630,117647,203,203,1,"Reconnaissance","Service_Scan"
"3628717","e",1,"tcp",1,59768,19,2,120,"RST",1,0.000658,0.000658,0,0.000658,0.000658,0.000658,1,1,60,60,1519.756836,0,0,11880,11880,198,198,199,2,1493.51,1493.51,99,99,1493.51,3039.51,198,198,1,"Reconnaissance","Service_Scan"
"3619650","e",1,"tcp",1,2742,1,2,120,"RST",1,0.000123,0.000123,0,0.000123,0.000123,0.000123,1,1,60,60,8130.081055,0,0,3960,11880,66,198,200,198,26774.8,36383.7,99,33,16260.2,36383.7,198,66,1,"Reconnaissance","Service_Scan"
"3650010","e",1,"tcp",1,54862,106,2,134,"RST",1,0.002478,0.002478,0,0.002478,0.002478,0.002478,1,1,74,60,403.551239,0,0,13992,13992,208,208,208,2,23.745,23.745,100,100,807.102,807.102,208,208,1,"Reconnaissance","Service_Scan"
"3598467","e",1,"tcp",1,51614,1046,2,120,"RST",1,0.000225,0.000225,0,0.000225,0.000225,0.000225,1,1,60,60,4444.444336,0,0,12000,12000,200,200,200,2,11361.7,11361.7,100,100,11361.7,8888.89,200,200,1,"Reconnaissance","Service_Scan"
"3631438","e s",2,"tcp",1,2456,178,4,240,"RST",1,0.007503,0.007503,0,0.007503,0.007503,0.007503,2,2,120,120,399.840057,133.280014,133.280014,24000,24000,400,400,400,4,510.563,510.563,100,100,510.563,533.12,400,400,1,"Reconnaissance","Service_Scan"
"3644031","e",1,"tcp",1,45006,52822,2,134,"RST",1,3.5e-05,3.5e-05,0,3.5e-05,3.5e-05,3.5e-05,1,1,74,60,28571.427734,0,0,12194,12194,182,182,200,2,41533.5,41533.5,91,91,57142.9,57142.9,182,182,1,"Reconnaissance","Service_Scan"
"3653306","e",1,"tcp",1,46794,1717,2,120,"RST",1,0.000917,0.000917,0,0.000917,0.000917,0.000917,1,1,60,60,1090.512573,0,0,12000,12000,200,200,200,2,741.265,741.265,100,100,741.265,2181.03,200,200,1,"Reconnaissance","Service_Scan"
"3662100","eU",6,"udp",3,44350,22124,1,60,"INT",4,0.000208,0.000208,0,0.000208,0.000208,0.000208,1,0,60,0,0,0,0,900,3480,15,58,58,1,7560.48,8496.92,58,15,8641.01,4807.69,58,15,1,"Reconnaissance","Service_Scan"
"3649702","e",1,"tcp",1,37336,1045,2,134,"RST",1,1.2e-05,1.2e-05,0,1.2e-05,1.2e-05,1.2e-05,1,1,74,60,83333.328125,0,0,13474,13474,201,201,201,2,182.099,182.099,100,100,166667,166667,201,201,1,"Reconnaissance","Service_Scan"
"3664236","e",1,"tcp",1,33626,2920,2,120,"RST",1,0.000574,0.000574,0,0.000574,0.000574,0.000574,1,1,60,60,1742.160278,0,0,12000,12000,200,200,200,2,1082.94,1082.94,100,100,1082.94,3484.32,200,200,1,"Reconnaissance","Service_Scan"
"3579747","e",1,"tcp",1,49203,4,2,120,"RST",1,0.000136,0.000136,0,0.000136,0.000136,0.000136,1,1,60,60,7352.940918,0,0,12000,12000,200,200,200,2,17219.1,17219.1,100,100,17219.1,14705.9,200,200,1,"Reconnaissance","OS_Fingerprint"
"3653933","e",1,"tcp",1,54776,111,2,120,"RST",1,0.000232,0.000232,0,0.000232,0.000232,0.000232,1,1,60,60,4310.344727,0,0,9960,12000,166,200,200,2,3993.84,3682.22,100,83,3993.84,8620.69,200,166,1,"Reconnaissance","Service_Scan"
"3652230","e",1,"tcp",1,40209,6668,2,120,"RST",1,0.004572,0.004572,0,0.004572,0.004572,0.004572,1,1,60,60,218.722672,0,0,11820,11820,197,197,197,2,379.96,379.96,100,100,379.96,437.445,194,194,1,"Reconnaissance","Service_Scan"
"3649380","e",1,"tcp",1,38774,992,2,134,"RST",1,0.000674,0.000674,0,0.000674,0.000674,0.000674,1,1,74,60,1483.679443,0,0,14066,14066,209,209,209,2,22.5352,22.5352,100,100,2967.36,2967.36,209,209,1,"Reconnaissance","Service_Scan"
"3654705","e",1,"tcp",1,54776,4444,2,120,"RST",1,0.004211,0.004211,0,0.004211,0.004211,0.004211,1,1,60,60,237.473282,0,0,11940,11940,199,199,199,2,602.972,602.972,100,100,602.972,474.947,198,198,1,"Reconnaissance","Service_Scan"
"3658159","eU",6,"udp",3,44350,49161,1,60,"INT",4,0.000146,0.000146,0,0.000146,0.000146,0.000146,1,0,60,0,0,0,0,1140,4620,19,77,77,2,7521.77,7244.33,77,19,9319,5882.35,77,19,1,"Reconnaissance","Service_Scan"
"3658422","eU",6,"udp",3,43758,1069,1,60,"INT",4,1e-04,1e-04,0,1e-04,1e-04,1e-04,1,0,60,0,0,0,0,1140,4562,19,76,76,1,7462.69,8243.84,76,19,9084.56,10000,76,19,1,"Reconnaissance","Service_Scan"
"3620264","e",1,"tcp",1,2565,1,2,120,"RST",1,0.000101,0.000101,0,0.000101,0.000101,0.000101,1,1,60,60,9900.990234,0,0,4080,11880,68,198,200,198,26174,14759.6,99,34,19802,14759.6,198,68,1,"Reconnaissance","Service_Scan"
"3590379","e",1,"tcp",1,45036,49152,9,720,"FIN",6,5.006163,0.101465,0.101081,0.20293,0.000384,0.202546,5,4,448,272,1.59803,0.799015,0.599261,16718,77920,205,945,945,149,2.1552,2.14534,100,22,1.79778,1.86104,945,205,1,"Reconnaissance","OS_Fingerprint"
"3604833","eU",6,"udp",3,35009,21868,1,60,"INT",4,3.3e-05,3.3e-05,0,3.3e-05,3.3e-05,3.3e-05,1,0,60,0,0,0,0,900,3568,15,58,58,2,24311.2,20999.3,57,15,18181.8,60606.1,56,15,1,"Reconnaissance","Service_Scan"
"3595803","e",1,"tcp",1,36663,55555,2,120,"RST",1,1.6e-05,1.6e-05,0,1.6e-05,1.6e-05,1.6e-05,1,1,60,60,62500,0,0,12000,12000,200,200,200,2,18660.2,18660.2,100,100,18660.2,125000,200,200,1,"Reconnaissance","Service_Scan"
"3616032","e",1,"tcp",1,38044,3306,13,1113,"FIN",6,0.198631,0.198631,0,0.198631,0.198631,0.198631,7,6,532,581,60.413528,30.206764,25.172304,28938,111300,338,1300,1300,1300,65.5647,63.1343,100,26,65.448,63.1343,1300,338,1,"Reconnaissance","Service_Scan"
"3632416","e s",2,"tcp",1,2493,873,6,360,"RST",1,0.004742,0.002371,0.001752,0.004742,0.000619,0.004123,3,3,180,180,1054.407471,485.083679,421.763,36000,36000,600,600,600,6,1287.54,1287.54,100,100,1287.54,1265.29,600,600,1,"Reconnaissance","Service_Scan"
"3668025","e",1,"tcp",1,2343,1,2,120,"RST",1,0.000143,0.000143,0,0.000143,0.000143,0.000143,1,1,60,60,6993.007324,0,0,3000,11760,50,196,200,196,14628.4,15297,98,25,13986,15297,196,50,1,"Reconnaissance","Service_Scan"
"3666144","e",1,"tcp",1,42052,34571,2,120,"RST",1,0.001074,0.001074,0,0.001074,0.001074,0.001074,1,1,60,60,931.098694,0,0,11880,11880,198,198,198,2,704.83,704.83,100,100,704.83,1862.2,196,196,1,"Reconnaissance","Service_Scan"
"3659608","eU",6,"udp",3,35226,1040,1,60,"INT",4,0.00013,0.00013,0,0.00013,0.00013,0.00013,1,0,60,0,0,0,0,840,3420,14,57,57,1,9497.96,7977.61,57,14,10256.4,7692.31,57,14,1,"Reconnaissance","Service_Scan"
"3612811","e",1,"tcp",1,51005,2190,2,120,"RST",1,0.000545,0.000545,0,0.000545,0.000545,0.000545,1,1,60,60,1834.862305,0,0,12000,12000,200,200,200,2,2948.2,2948.2,100,100,2948.2,3669.72,200,200,1,"Reconnaissance","Service_Scan"
"3616790","e",1,"tcp",1,35522,3306,13,1113,"FIN",6,0.198147,0.198147,0,0.198147,0.198147,0.198147,7,6,532,581,60.5611,30.28055,25.233791,27825,111300,325,1300,1300,1300,65.6054,65.5347,100,25,65.6079,65.5347,1300,325,1,"Reconnaissance","Service_Scan"
"3654155","e",1,"tcp",1,54776,32771,2,120,"RST",1,0.000747,0.000747,0,0.000747,0.000747,0.000747,1,1,60,60,1338.68811,0,0,12000,12000,200,200,200,2,931.025,931.025,100,100,931.025,2677.38,200,200,1,"Reconnaissance","Service_Scan"
"3607703","eU",6,"udp",3,35008,136,1,60,"INT",4,6.9e-05,6.9e-05,0,6.9e-05,6.9e-05,6.9e-05,1,0,60,0,0,0,0,900,3576,15,59,59,1,23076.9,24842.1,59,15,26442.3,14492.8,59,15,1,"Reconnaissance","Service_Scan"
"3648959","e",1,"tcp",1,48724,3784,2,134,"RST",1,0.00222,0.00222,0,0.00222,0.00222,0.00222,1,1,74,60,450.45047,0,0,13918,13918,207,207,207,2,28.7355,28.7355,100,100,900.901,900.901,207,207,1,"Reconnaissance","Service_Scan"
"3629840","e s",2,"tcp",1,1589,715,4,240,"RST",1,0.004474,0.004474,0,0.004474,0.004474,0.004474,2,2,120,120,670.540894,223.513626,223.513626,19620,19620,327,327,327,4,1034.22,1034.22,100,100,1034.22,894.055,327,327,1,"Reconnaissance","Service_Scan"
"3591774","e",1,"tcp",1,33423,5414,2,120,"RST",1,0.001401,0.001401,0,0.001401,0.001401,0.001401,1,1,60,60,713.775879,0,0,12000,12000,200,200,200,2,2423.83,2423.83,100,100,2423.83,1427.55,200,200,1,"Reconnaissance","OS_Fingerprint"
"3585292","e",1,"tcp",1,41840,7106,2,120,"RST",1,0.000333,0.000333,0,0.000333,0.000333,0.000333,1,1,60,60,3003.00293,0,0,12000,12000,200,200,200,2,1203.56,1203.56,100,100,1203.56,6006.01,200,200,1,"Reconnaissance","OS_Fingerprint"
"3595156","e",1,"tcp",1,59438,1141,2,120,"RST",1,5.6e-05,5.6e-05,0,5.6e-05,5.6e-05,5.6e-05,1,1,60,60,17857.142578,0,0,12000,12000,200,200,200,2,26666.7,26666.7,100,100,26666.7,35714.3,200,200,1,"Reconnaissance","OS_Fingerprint"
"3598123","e",1,"tcp",1,50919,3703,2,120,"RST",1,8e-06,8e-06,0,8e-06,8e-06,8e-06,1,1,60,60,125000,0,0,9720,9720,162,162,200,2,9473.13,9473.13,81,81,9473.13,250000,162,162,1,"Reconnaissance","Service_Scan"
"3603479","eU",6,"udp",3,35008,20313,1,60,"INT",4,3.7e-05,3.7e-05,0,3.7e-05,3.7e-05,3.7e-05,1,0,60,0,0,0,0,900,3480,15,58,58,1,21520.8,20279.7,58,15,23404.3,27027,58,15,1,"Reconnaissance","Service_Scan"
"3631976","e",1,"tcp",1,2456,745,2,120,"RST",1,0.003167,0.003167,0,0.003167,0.003167,0.003167,1,1,60,60,315.756256,0,0,12000,12000,200,200,200,2,682.862,682.862,100,100,682.862,631.512,200,200,1,"Reconnaissance","Service_Scan"
"3633207","e s",2,"tcp",1,2493,631,6,360,"RST",1,0.004677,0.002338,0.001533,0.004677,0.000805,0.003872,3,3,180,180,1069.061401,516.528931,427.624542,18360,18360,306,306,404,6,1202.27,1202.27,51,51,1202.27,1282.87,306,306,1,"Reconnaissance","Service_Scan"
"3585165","e",1,"tcp",1,41707,50002,2,120,"RST",1,0.000162,0.000162,0,0.000162,0.000162,0.000162,1,1,60,60,6172.839844,0,0,8880,11940,148,199,199,2,4542.25,3472.46,100,74,4542.25,12345.7,198,148,1,"Reconnaissance","OS_Fingerprint"
"3648745","e",1,"tcp",1,46518,1216,2,134,"RST",1,0.000115,0.000115,0,0.000115,0.000115,0.000115,1,1,74,60,8695.652344,0,0,13548,13548,202,202,202,2,98.9101,98.9101,100,100,17391.3,17391.3,202,202,1,"Reconnaissance","Service_Scan"
"3594549","e",1,"tcp",1,55499,5815,2,120,"RST",1,0.001035,0.001035,0,0.001035,0.001035,0.001035,1,1,60,60,966.183594,0,0,13186,13186,216,216,216,2,1721.72,1721.72,100,100,2177.78,1932.37,208,208,1,"Reconnaissance","OS_Fingerprint"
"3602836","eU",6,"udp",3,38760,1434,1,60,"INT",4,5.9e-05,5.9e-05,0,5.9e-05,5.9e-05,5.9e-05,1,0,60,0,0,0,0,900,3600,15,60,60,2,22123.9,27186.2,60,15,14150.9,33898.3,60,15,1,"Reconnaissance","Service_Scan"
"3658215","eU",6,"udp",3,41433,1901,1,60,"INT",4,0.000205,0.000205,0,0.000205,0.000205,0.000205,1,0,60,0,0,0,0,1140,4522,19,75,75,1,7424.78,7369.56,75,19,8022.92,4878.05,75,19,1,"Reconnaissance","Service_Scan"
"3581035","e",1,"tcp",1,36256,264,2,120,"RST",1,0.000108,0.000108,0,0.000108,0.000108,0.000108,1,1,60,60,9259.258789,0,0,12000,12000,200,200,200,2,20614.3,20614.3,100,100,20614.3,18518.5,200,200,1,"Reconnaissance","OS_Fingerprint"
"3661839","eU",6,"udp",3,43759,40622,1,60,"INT",4,0.000149,0.000149,0,0.000149,0.000149,0.000149,1,0,60,0,0,0,0,840,3396,14,56,56,2,6466.51,7395.67,56,14,5736.14,13422.8,56,14,1,"Reconnaissance","Service_Scan"
"3651453","e",1,"tcp",1,36917,714,2,120,"RST",1,0.003395,0.003395,0,0.003395,0.003395,0.003395,1,1,60,60,294.550812,0,0,11700,11700,195,195,195,2,649.558,649.558,100,100,649.558,589.102,190,190,1,"Reconnaissance","Service_Scan"
"3647082","e s",2,"tcp",1,36950,6059,3,208,"RST",1,1.025045,1.025045,0,1.025045,1.025045,1.025045,2,1,148,60,1.951134,0.975567,0,14658,14658,217,217,217,3,12.3684,12.3684,100,100,2.9267,2.9267,217,217,1,"Reconnaissance","Service_Scan"
"3608278","eU",6,"udp",3,35009,17077,1,60,"INT",4,4.7e-05,4.7e-05,0,4.7e-05,4.7e-05,4.7e-05,1,0,60,0,0,0,0,900,3480,15,58,58,2,21645,22897.8,58,15,16393.4,42553.2,58,15,1,"Reconnaissance","Service_Scan"
"3584919","e",1,"tcp",1,41707,212,2,120,"RST",1,0.000365,0.000365,0,0.000365,0.000365,0.000365,1,1,60,60,2739.72583,0,0,12000,12000,200,200,200,2,3714.3,3714.3,100,100,3714.3,5479.45,200,200,1,"Reconnaissance","OS_Fingerprint"
"3596345","e",1,"tcp",1,62169,2301,2,120,"RST",1,1.5e-05,1.5e-05,0,1.5e-05,1.5e-05,1.5e-05,1,1,60,60,66666.671875,0,0,12180,12180,203,203,203,2,121630,121630,100,100,121630,133333,203,203,1,"Reconnaissance","Service_Scan"
"3622431","e",1,"tcp",1,2612,1,2,120,"RST",1,5.4e-05,5.4e-05,0,5.4e-05,5.4e-05,5.4e-05,1,1,60,60,18518.517578,0,0,4080,12000,68,200,200,200,44213.3,46328.5,100,34,37037,46328.5,200,68,1,"Reconnaissance","Service_Scan"
"3631795","e",1,"tcp",1,2456,639,2,120,"RST",1,0.002532,0.002532,0,0.002532,0.002532,0.002532,1,1,60,60,394.944702,0,0,12000,12000,200,200,200,2,883.923,883.923,100,100,883.923,789.889,200,200,1,"Reconnaissance","Service_Scan"
"3598407","e",1,"tcp",1,51614,10082,2,120,"RST",1,0.000209,0.000209,0,0.000209,0.000209,0.000209,1,1,60,60,4784.688965,0,0,12000,12000,200,200,200,2,11361.7,11361.7,100,100,11361.7,9569.38,200,200,1,"Reconnaissance","Service_Scan"
"3636833","e",1,"tcp",1,34141,7002,2,120,"RST",1,0.001234,0.001234,0,0.001234,0.001234,0.001234,1,1,60,60,810.372803,0,0,11820,11820,197,197,197,2,627.219,627.219,100,100,627.219,1620.75,194,194,1,"Reconnaissance","Service_Scan"
"3621922","e",1,"tcp",1,3499,1,2,120,"RST",1,3.5e-05,3.5e-05,0,3.5e-05,3.5e-05,3.5e-05,1,1,60,60,28571.427734,0,0,3960,11880,66,198,200,198,42857.1,35200,99,33,57142.9,35200,198,66,1,"Reconnaissance","Service_Scan"
"3592166","e",1,"tcp",1,33423,1594,2,120,"RST",1,0.001294,0.001294,0,0.001294,0.001294,0.001294,1,1,60,60,772.797546,0,0,12000,12000,200,200,200,2,2254.97,2254.97,100,100,2254.97,1545.6,200,200,1,"Reconnaissance","OS_Fingerprint"
"3584608","e",1,"tcp",1,41840,5061,2,120,"RST",1,0.001277,0.001277,0,0.001277,0.001277,0.001277,1,1,60,60,783.085388,0,0,6960,11760,116,196,196,2,467.536,493.002,100,60,467.536,1566.17,192,112,1,"Reconnaissance","OS_Fingerprint"
"3607055","eU",6,"udp",3,36529,44185,1,60,"INT",4,2.6e-05,2.6e-05,0,2.6e-05,2.6e-05,2.6e-05,1,0,60,0,0,0,0,900,3494,15,58,58,1,25125.6,21037.4,58,15,31428.6,38461.5,58,15,1,"Reconnaissance","Service_Scan"
"3639813","eU",6,"udp",3,55093,944,1,60,"INT",4,0.000169,0.000169,0,0.000169,0.000169,0.000169,1,0,60,0,0,0,0,900,3492,15,58,58,1,8296.46,7756.08,58,15,9499.14,5917.16,58,15,1,"Reconnaissance","Service_Scan"
"3632612","e s",2,"tcp",1,2493,72,4,240,"RST",1,0.0062,0.0062,0,0.0062,0.0062,0.0062,2,2,120,120,483.870941,161.290314,161.290314,22080,22080,368,368,400,4,624.3,624.3,92,92,624.3,645.161,368,368,1,"Reconnaissance","Service_Scan"
"3615411","e",1,"tcp",1,51878,3306,13,1113,"FIN",6,0.199138,0.199138,0,0.199138,0.199138,0.199138,7,6,532,581,60.25972,30.12986,25.108217,27825,111300,325,1300,1300,1300,65.5633,65.4585,100,25,65.2814,65.4585,1300,325,1,"Reconnaissance","Service_Scan"
"3587551","e",1,"tcp",1,33845,5822,2,120,"RST",1,0.000235,0.000235,0,0.000235,0.000235,0.000235,1,1,60,60,4255.319336,0,0,2640,11280,44,188,188,4,14910.2,27806.5,100,28,10843.8,13377.9,176,32,1,"Reconnaissance","OS_Fingerprint"
"3582152","e",1,"tcp",1,33223,6059,2,120,"RST",1,0.003261,0.003261,0,0.003261,0.003261,0.003261,1,1,60,60,306.654419,0,0,11880,11880,198,198,198,2,889.888,889.888,100,100,889.888,613.309,196,196,1,"Reconnaissance","OS_Fingerprint"
"3635145","e",1,"tcp",1,56972,5811,2,120,"RST",1,0.003374,0.003374,0,0.003374,0.003374,0.003374,1,1,60,60,296.384094,0,0,11760,11760,196,196,196,2,823.924,823.924,100,100,823.924,592.768,192,192,1,"Reconnaissance","Service_Scan"
"3653157","e",1,"tcp",1,46794,2608,2,120,"RST",1,0.000479,0.000479,0,0.000479,0.000479,0.000479,1,1,60,60,2087.682617,0,0,12000,12000,200,200,200,2,2314.6,2314.6,100,100,2314.6,4175.37,200,200,1,"Reconnaissance","Service_Scan"
"3618708","e",1,"tcp",1,48180,3306,13,1113,"FIN",6,0.1978,0.1978,0,0.1978,0.1978,0.1978,7,6,532,581,60.667343,30.333672,25.278059,27825,111300,325,1300,1300,1300,65.5758,65.5556,100,25,65.723,65.5556,1300,325,1,"Reconnaissance","Service_Scan"
